name,detail_,sentiment
 ~klemz:,women techsters tech bootcamp cohort women techster bootcamps cohort application learn following tech skills cohort cybersecurity data analysis product design product management software development apply https dixcoverhub com women techsters tech bootcamp cohort,Neutral
 Maggie ❤️:,greetings everyone hope good weekend notify community seek opinion online seminar intend organize community members theme starting career tech observed many persons struggling excos like know opinion intended seminar likelihood attendance via poll please members participate poll thanks obumneme clement lead python community anambra,Posetive
 Maggie ❤️:,thanks voted opinions much important us yet vote please let make votes count thank,Posetive
 Maggie ❤️:,null,Neutral
 Maggie ❤️:,hello everyone please remember contribute,Posetive
 Ada StatsUnizik:,okie dokie,Neutral
 ~klemz:,dey,Neutral
 Ada StatsUnizik:,cool oo,Posetive
 ~klemz:,school stress,Negative
 Okeoma GeoStat:,ok,Posetive
 Ada StatsUnizik:,okay oo,Posetive
 Prince PyCom:,good morning developer tech generally love learn build websites using wordpress make good income inviting special event coming saturday come network tech experts enthusiasts jolly cake things https www meetup com anambra wordpress meetup events,Posetive
 Maggie ❤️:,hello everyone good evening us pls let remember cast votes,Posetive
 ~klemz:,good morning everyone,Posetive
 ~klemz:,hope great time,Posetive
 ~klemz:,event highly encouraged residing awka please well register attend tomorrow totally free,Posetive
 ~klemz:,also appreciate participated poll far good know position know serve better participated well tell us position,Posetive
" Mr. P, PyCom:",may missed poll,Negative
 ~klemz:,oh come around right good morning sir,Posetive
" Mr. P, PyCom:",sure mean come around,Posetive
 ~klemz:,okay mean show,Posetive
 ~klemz:,seminar organized,Neutral
" Mr. P, PyCom:",virtual person,Neutral
 ~klemz:,virtual,Neutral
" Mr. P, PyCom:",oh sure please day,Posetive
 ~klemz:,communicated,Neutral
" Mr. P, PyCom:",,Neutral
 ~klemz:,https twitter com tohire ng status hzi ecxkir hs ikkh,Neutral
 Maggie ❤️:,good evening everyone pls oo let drop opinion casting vote,Posetive
 ~klemz:,announcement good evening house inform house one community managers miss peace ij one program managers mr kene longer serving mentioned capacities due circumstances really appreciate effort sincerity pray god continues bless keep effect need replacement community manager program manager interested persons notify privately work together better community long live python community anambra thanks obumneme clement lead python community anambra,Posetive
 Maggie ❤️:,happy sunday people good day everyone quick reminder poll need drop opinion pls thank,Posetive
 Chinwe_pycon:,resonded,Neutral
 Maggie ❤️:,okay thank,Posetive
 ~klemz:,good day ever hope good time want first appreciate effort us especially participated poll okay outcome poll participants like idea webinar therefore proceed organizing anticipate details coming way soon thanks,Posetive
 Maggie ❤️:,https meet google com bfq fewa wnx good evening everyone use link join us python roadmap,Posetive
 Maggie ❤️:,hv started,Neutral
 ~klemz:,good morning everyone,Posetive
 ~klemz:,media omitted,Neutral
 +234 807 582 1749:,https chat whatsapp com fthg brp nabgn trkihx,Neutral
 +234 807 582 1749:,outline going learning basis graphic design designs major types logo create eyes catching flayer make money skill select rightful colour design make business flayers get target audience rank designs submitting customer going show platform graphic designer needed majorly best student get free pro app create airtime flayer principles rules guiding graphic design,Posetive
 Chinedu Pycom:,congratulations,Posetive
 Peace Ij Pycom:,congrats oo wow rotaract brother,Posetive
 Peace Ij Pycom:,wish could attend,Posetive
 Somto Pycom:,yes oooo,Posetive
" Mr. P, PyCom:",congratulations,Posetive
 ~klemz:,wishing everyone joyful prosperous new month ahead,Posetive
 ~klemz:,good morning everyone,Posetive
 Okeoma GeoStat:,good morning boss,Posetive
 ~klemz:,announcement everyone invited community webinar scheduled follows saturday th july pm venue google meet theme starting career tech speakers mr pius okigbo mr michael hr event community members starting planning start know whether start career tech must miss event answers provided key questions asking also well invite friends community join webinar thanks obumneme clement lead python community anambra,Posetive
 ~klemz:,invite friends link https docs google com forms juxe lirkcos qrlahhq criekpo ldmblc pn edit chromeless,Posetive
